iter	Passed	Remaining
734	12593	4540
735	12611	4523
736	12629	4506
737	12647	4489
738	12666	4473
739	12682	4456
740	12700	4439
741	12716	4421
742	12733	4404
743	12750	4387
744	12767	4370
745	12785	4353
746	12802	4336
747	12819	4318
748	12836	4301
749	12853	4284
750	12872	4267
751	12888	4250
752	12905	4233
753	12921	4215
754	12937	4198
755	12953	4180
756	12969	4163
757	12986	4145
758	13003	4128
759	13019	4111
760	13035	4093
761	13052	4076
762	13069	4059
763	13088	4042
764	13103	4025
765	13120	4008
766	13136	3990
767	13153	3973
768	13169	3956
769	13186	3938
770	13203	3921
771	13221	3904
772	13237	3887
773	13253	3870
774	13270	3852
775	13287	3835
776	13304	3818
777	13322	3801
778	13338	3784
779	13355	3766
780	13373	3750
781	13390	3732
782	13407	3715
783	13423	3698
784	13440	3681
785	13457	3663
786	13474	3646
787	13490	3629
788	13507	3612
789	13525	3595
790	13541	3578
791	13558	3560
792	13574	3543
793	13591	3526
794	13608	3509
795	13625	3491
796	13642	3474
797	13658	3457
798	13675	3440
799	13692	3423
800	13707	3405
801	13724	3388
802	13742	3371
803	13760	3354
804	13777	3337
805	13795	3320
806	13812	3303
807	13831	3286
808	13847	3269
809	13864	3252
810	13880	3234
811	13897	3217
812	13915	3200
813	13931	3183
814	13949	3166
815	13968	3149
816	13984	3132
817	14001	3115
818	14017	3097
819	14034	3080
820	14051	3063
821	14068	3046
822	14085	3029
823	14102	3012
824	14119	2994
825	14136	2977
826	14153	2960
827	14170	2943
828	14187	2926
829	14205	2909
830	14221	2892
831	14239	2875
832	14257	2858
833	14274	2841
834	14290	2823
835	14306	2806
836	14325	2789
837	14341	2772
838	14358	2755
839	14374	2738
840	14391	2720
841	14409	2703
842	14427	2686
843	14443	2669
844	14460	2652
845	14476	2635
846	14493	2618
847	14511	2601
848	14528	2583
849	14544	2566
850	14561	2549
851	14579	2532
852	14596	2515
853	14612	2498
854	14631	2481
855	14648	2464
856	14666	2447
857	14683	2430
858	14699	2412
859	14718	2396
860	14735	2378
861	14753	2361
862	14770	2344
863	14787	2327
864	14804	2310
865	14823	2293
866	14839	2276
867	14855	2259
868	14872	2241
869	14889	2224
870	14906	2207
871	14923	2190
872	14940	2173
873	14956	2156
874	14973	2139
875	14991	2122
876	15009	2105
877	15027	2088
878	15045	2071
879	15061	2053
880	15078	2036
881	15095	2019
882	15111	2002
883	15127	1985
884	15144	1967
885	15161	1950
886	15178	1933
887	15195	1916
888	15212	1899
889	15230	1882
890	15248	1865
891	15265	1848
892	15282	1831
893	15298	1813
894	15315	1796
895	15332	1779
896	15348	1762
897	15365	1745
898	15382	1728
899	15399	1711
